I3;G2;AR1;S3;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM1;TP5;TM4;FR4;SM8;T1;PM2;EDM1;ECM7 ;MOM2;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT3;CAT1;NM0
I2;G1;AR1;S3;PCD2;QPCD0;PE1;AU2;MO10;ED2;KM3;TP11;TM4;FR7;SM10;T2;PM2;EDM1;ECM7 ;MOM4;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT2;CAT2;NM1
I3;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO2;ED3 ;KM4;TP6;TM4;FR1;SM8;T2;PM2;EDM5;ECM7 ;MOM2;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS2;PT2;CAT2;NM2
I3;G2;AR3;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM4;TP6;TM3;FR4;SM10;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS1;PT1;CAT1;NM0
I3;G1;AR3;S3;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM6;TP9;TM1;FR2;SM9;T2;PM2;EDM6;ECM5 ;MOM6;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS2;PT4;CAT1;NM0
I2;G1;AR1;S1;PCD2;QPCD0;PE1;AU2;MO9;ED2;KM3;TP1;TM2;FR4;SM9;T1;PM2;EDM1;ECM7 ;MOM5;PP2;EDP1;ECP9;MOP4;DF1;QDF0;IS1;PT2;CAT1;NM0
I2;G1;AR1;S4;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM4;TP5;TM3;FR6;SM7;T1;PM2;EDM1;ECM7 ;MOM8;PP2;EDP1;ECP2 ;MOP1;DF1;QDF0;IS1;PT3;CAT2;NM1
I2;G2;AR1;S3;PCD2;QPCD0;PE1;AU1;MO10;ED2;KM4;TP2;TM3;FR5;SM10;T2;PM2;EDM16;ECM6 ;MOM4;PP2;EDP1;ECP6 ;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE1;AU2;MO15;ED2;KM1;TP11;TM2;FR4;SM9;T1;PM2;EDM1;ECM7 ;MOM13;PP2;EDP1;ECP7 ;MOP10;DF1;QDF0;IS1;PT2;CAT2;NM2
I3;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP5;TM4;FR1;SM10;T2;PM2;EDM1;ECM2 ;MOM1;PP2;EDP1;ECP6 ;MOP12;DF1;QDF0;IS1;PT3;CAT1;NM0
I3;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM2;TP5;TM4;FR5;SM9;T2;PM2;EDM1;ECM9;MOM13;PP2;EDP6 ;ECP5 ;MOP1;DF1;QDF0;IS1;PT3;CAT2;NM2
I5;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP10 ;TM3;FR2;SM9;T1;PM2;EDM1;ECM2 ;MOM14 ;PP2;EDP1;ECP12;MOP2;DF1;QDF0;IS1;PT3;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM2;TP2;TM1;FR1;SM5;T1;PM2;EDM1;ECM9;MOM15;PP2;EDP1;ECP10;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G1;AR2;S1;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM6;TP11;TM1;FR1;SM5;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP7 ;MOP5;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM1;TP2;TM4;FR4;SM5;T1;PM2;EDM1;ECM9;MOM5;PP2;EDP1;ECP10;MOP6;DF1;QDF0;IS1;PT4;CAT2;NM2
I3;G1;AR3;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM3;TP6;TM3;FR9;SM5;T1;PM2;EDM1;ECM7 ;MOM2;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP11;TM4;FR5;SM5;T1;PM2;EDM7;ECM9;MOM13;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I4;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM4;TP7;TM3;FR6;SM8;T1;PM2;EDM1;ECM9;MOM1;PP2;EDP1;ECP9;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G5;AR5;S4;PCD2;QPCD0;PE2;AU0;MO4;ED2;KM4;TP7;TM4;FR6;SM5;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP9;MOP11;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G2;AR1;S2;PCD2;QPCD0;PE1;AU2;MO11;ED2;KM4;TP11;TM2;FR6;SM5;T1;PM2;EDM1;ECM7 ;MOM1;PP2;EDP1;ECP9;MOP6;DF1;QDF0;IS2;PT2;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE1;AU2;MO10;ED2;KM1;TP1;TM4;FR5;SM5;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP7 ;MOP10;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G1;AR3;S3;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM2;TP7;TM4;FR5;SM5;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP9;MOP1;DF1;QDF0;IS2;PT4;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM1;TP11;TM2;FR5;SM5;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP3;ECP7 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM1;TP7;TM4;FR3;SM5;T1;PM2;EDM1;ECM8;MOM3;PP2;EDP1;ECP8;MOP3;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR1;S2;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP7;TM3;FR1;SM6;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP6 ;MOP11;DF1;QDF0;IS1;PT3;CAT2;NM2
I2;G5;AR1;S2;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM1;TP11;TM3;FR6;SM5;T1;PM2;EDM1;ECM8;MOM1;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G1;AR3;S1;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM1;TP1;TM4;FR4;SM5;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP10;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM1;TP5;TM4;FR4;SM5;T1;PM2;EDM1;ECM10;MOM2;PP2;EDP1;ECP8;MOP4;DF1;QDF0;IS1;PT2;CAT2;NM1
I1;G1;AR1;S3;PCD2;QPCD0;PE1;AU2;MO15;ED2;KM6;TP7;TM1;FR1;SM5;T1;PM2;EDM3;ECM7 ;MOM1;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT1;CAT2;NM2
I3;G1;AR5;S4;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP5;TM3;FR7;SM5;T1;PM2;EDM1;ECM7 ;MOM4;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR1;S4;PCD1;QPCD7;PE1;AU1;MO15;ED2;KM6;TP7;TM1;FR2;SM5;T1;PM2;EDM1;ECM7 ;MOM5;PP1;EDP0;ECP0;MOP0;DF2;QDF3;IS1;PT2;CAT2;NM2
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM4;TP11;TM3;FR6;SM5;T1;PM2;EDM2;ECM8;MOM1;PP2;EDP8;ECP10;MOP1;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G2;AR3;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM3;TP7;TM4;FR7;SM5;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS1;PT2;CAT2;NM1
I3;G1;AR2;S3;PCD2;QPCD0;PE1;AU2;MO10;ED2;KM1;TP11;TM3;FR6;SM5;T1;PM2;EDM1;ECM9;MOM3;PP2;EDP1;ECP7 ;MOP6;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP11;TM4;FR3;SM5;T2;PM2;EDM15;ECM9;MOM2;PP2;EDP1;ECP3 ;MOP6;DF1;QDF0;IS1;PT2;CAT2;NM1
I3;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM3;TP11;TM4;FR6;SM5;T2;PM2;EDM1;ECM7 ;MOM4;PP2;EDP1;ECP9;MOP7;DF2;QDF1;IS1;PT2;CAT2;NM1
I2;G2;AR3;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP9;TM1;FR2;SM5;T2;PM2;EDM2;ECM9;MOM2;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM3;TP11;TM4;FR6;SM5;T2;PM2;EDM1;ECM7 ;MOM1;PP2;EDP1;ECP9;MOP8;DF1;QDF0;IS2;PT1;CAT2;NM2
I2;G1;AR1;S2;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP8;TM1;FR1;SM5;T2;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I3;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO5;ED2;KM2;TP11;TM2;FR9;SM4;T2;PM1;EDM0;ECM0;MOM0;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT3;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM1;TP6;TM4;FR4;SM5;T2;PM2;EDM10;ECM7 ;MOM5;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP7;TM1;FR2;SM5;T2;PM2;EDM3;ECM4 ;MOM6;PP2;EDP13;ECP4 ;MOP5;DF1;QDF0;IS2;PT2;CAT2;NM2
I4;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM5;TP5;TM1;FR9;SM5;T2;PM2;EDM1;ECM9;MOM1;PP2;EDP1;ECP9;MOP1;DF1;QDF0;IS1;PT4;CAT2;NM1
I3;G5;AR3;S4;PCD2;QPCD0;PE1;AU2;MO7;ED2;KM1;TP11;TM4;FR5;SM7;T2;PM2;EDM1;ECM9;MOM15;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT1;CAT1;NM0
