I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO6;ED3;KM3;TP7;TM3;FR4;SM1;T1;PM2;EDM5;ECM11;MOM13;PP2;EDP8;ECP11;MOP10;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G1;AR2;S3;PCD2;QPCD0;PE2;AU0;MO12;ED2;KM5;TP7;TM1;FR1;SM1;T1;PM2;EDM1;ECM7 ;MOM13;PP2;EDP1;ECP7 ;MOP10;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G1;AR1;S2;PCD1;QPCD2;PE2;AU0;MO11;ED2;KM5;TP11;TM1;FR1;SM1;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G2;AR1;S2;PCD2;QPCD0;PE1;AU2;MO6;ED2;KM6;TP9;TM1;FR2;SM1;T1;PM2;EDM1;ECM7 ;MOM3;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G1;AR2;S3;PCD2;QPCD0;PE2;AU0;MO3;ED2;KM6;TP11;TM1;FR1;SM1;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G2;AR3;S1;PCD2;QPCD0;PE1;AU1;MO10;ED2;KM2;TP1;TM2;FR5;SM1;T1;PM2;EDM1;ECM7 ;MOM13;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G1;AR3;S1;PCD2;QPCD0;PE1;AU1;MO7;ED2;KM2;TP11;TM2;FR4;SM1;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP14;ECP2 ;MOP4;DF1;QDF0;IS1;PT4;CAT2;NM2
I7;G2;AR1;S2;PCD2;QPCD0;PE2;AU0;MO5;ED2;KM6;TP10 ;TM1;FR2;SM1;T2;PM1;EDM0;ECM0;MOM0;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS2;PT4;CAT1;NM0
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM3;TP5;TM1;FR1;SM1;T2;PM2;EDM1;ECM10;MOM5;PP2;EDP1;ECP10;MOP12;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM1;TP11;TM3;FR4;SM1;T2;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP2 ;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G2;AR1;S2;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM5;TP11;TM1;FR9;SM1;T2;PM2;EDM12;ECM8;MOM3;PP2;EDP2;ECP9;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM1
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP1;TM3;FR5;SM1;T2;PM2;EDM5 ;ECM6 ;MOM2;PP2;EDP2;ECP7 ;MOP2;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G1;AR1;S2;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM1;TP1;TM3;FR1;SM1;T2;PM2;EDM10;ECM7 ;MOM13;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G2;AR2;S1;PCD2;QPCD0;PE1;AU1;MO11;ED2;KM1;TP11;TM2;FR7;SM1;T2;PM2;EDM5 ;ECM3 ;MOM6;PP2;EDP1;ECP3 ;MOP2;DF1;QDF0;IS1;PT4;CAT1;NM0
I4;G2;AR2;S1;PCD2;QPCD0;PE1;AU1;MO2;ED2;KM1;TP11;TM4;FR4;SM1;T2;PM2;EDM1;ECM7 ;MOM1;PP2;EDP2;ECP3 ;MOP1;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G1;AR1;S3;PCD2;QPCD0;PE1;AU1;MO7;ED2;KM2;TP7;TM2;FR3;SM1;T2;PM2;EDM1;ECM7 ;MOM3;PP2;EDP1;ECP7 ;MOP4;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR1;S6;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM2;TP11;TM2;FR4;SM1;T2;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS2;PT2;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM2;TP11;TM2;FR7;SM1;T2;PM2;EDM11;ECM8;MOM5;PP2;EDP14;ECP8;MOP5;DF1;QDF0;IS1;PT2;CAT1;NM0
I1;G2;AR3;S3;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP9;TM1;FR2;SM1;T2;PM2;EDM1;ECM7 ;MOM4;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G1;AR3;S2;PCD2;QPCD0;PE1;AU2;MO14;ED2;KM6;TP9;TM1;FR2;SM1;T2;PM2;EDM5;ECM7 ;MOM2;PP2;EDP10;ECP2 ;MOP4;DF1;QDF0;IS2;PT4;CAT2;NM2
I1;G1;AR3;S1;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM4;TP11;TM3;FR2;SM1;T2;PM2;EDM1;ECM9;MOM8;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS2;PT2;CAT2;NM2
I1;G2;AR3;S3;PCD2;QPCD0;PE2;AU0;MO3;ED2;KM2;TP11;TM2;FR4;SM1;T1;PM1;EDM0;ECM0;MOM0;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS2;PT4;CAT1;NM0
I2;G2;AR2;S1;PCD2;QPCD0;PE1;AU1;MO15;ED2;KM6;TP7;TM1;FR2;SM1;T2;PM2;EDM1;ECM2 ;MOM15;PP2;EDP1;ECP4 ;MOP2;DF1;QDF0;IS2;PT4;CAT2;NM2
I1;G2;AR2;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP8;TM1;FR2;SM1;T2;PM2;EDM1;ECM7 ;MOM13;PP2;EDP1;ECP7 ;MOP10;DF2;QDF3;IS2;PT4;CAT2;NM1
I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM6;TP5;TM1;FR1;SM1;T2;PM2;EDM5 ;ECM8;MOM6;PP2;EDP1;ECP5 ;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G1;AR1;S1;PCD2;QPCD0;PE1;AU1;MO7;ED2;KM6;TP9;TM1;FR2;SM1;T2;PM2;EDM1;ECM7 ;MOM5;PP2;EDP1;ECP7 ;MOP5;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G5;AR1;S3;PCD2;QPCD0;PE1;AU2;MO7;ED2;KM2;TP1;TM2;FR5;SM1;T1;PM2;EDM3;ECM7 ;MOM2;PP2;EDP1;ECP7 ;MOP9;DF1;QDF0;IS2;PT4;CAT1;NM0
I2;G2;AR3;S2;PCD2;QPCD0;PE2;AU0;MO2;ED8;KM6;TP7;TM1;FR9;SM1;T2;PM2;EDM10;ECM6 ;MOM2;PP2;EDP9;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM4;TP7;TM2;FR3;SM1;T2;PM2;EDM1;ECM10;MOM13;PP2;EDP1;ECP7 ;MOP8;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G6;AR2;S2;PCD2;QPCD0;PE1;AU2;MO9;ED2;KM6;TP7;TM1;FR9;SM1;T2;PM2;EDM1;ECM9;MOM1;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP10 ;TM1;FR2;SM1;T2;PM2;EDM1;ECM9;MOM14 ;PP2;EDP1;ECP6 ;MOP2;DF2;QDF3;IS1;PT4;CAT2;NM2
I1;G5;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM2;TP4;TM2;FR5;SM1;T1;PM2;EDM9;ECM9;MOM5;PP2;EDP8;ECP9;MOP5;DF1;QDF0;IS1;PT2;CAT2;NM1
I6;G2;AR2;S3;PCD2;QPCD0;PE1;AU5;MO6;ED2;KM2;TP1;TM3;FR6;SM1;T2;PM2;EDM1;ECM3 ;MOM6;PP2;EDP3;ECP2 ;MOP1;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G1;AR2;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP8;TM1;FR1;SM1;T2;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I4;G2;AR1;S2;PCD2;QPCD0;PE2;AU0;MO5;ED2;KM2;TP4;TM1;FR1;SM1;T2;PM2;EDM1;ECM11;MOM13;PP2;EDP8;ECP11;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP10 ;TM1;FR2;SM1;T2;PM2;EDM1;ECM7 ;MOM15;PP2;EDP6 ;ECP2 ;MOP9;DF2;QDF1;IS1;PT1;CAT2;NM2
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP11;TM1;FR5;SM1;T2;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP11;TM1;FR2;SM1;T2;PM2;EDM1;ECM6 ;MOM1;PP2;EDP1;ECP9;MOP1;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G5;AR3;S3;PCD2;QPCD0;PE2;AU0;MO12;ED2;KM1;TP2;TM2;FR6;SM1;T2;PM2;EDM8;ECM9;MOM2;PP2;EDP2;ECP4 ;MOP12;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G2;AR1;S2;PCD2;QPCD0;PE2;AU0;MO4;ED2;KM6;TP11;TM1;FR2;SM1;T2;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP8;MOP2;DF1;QDF0;IS2;PT2;CAT1;NM0
I2;G1;AR5;S6;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM2;TP11;TM2;FR5;SM7;T1;PM2;EDM7;ECM7 ;MOM15;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS2;PT4;CAT2;NM1
I2;G2;AR1;S3;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM1;TP1;TM3;FR4;SM7;T1;PM2;EDM1;ECM9;MOM5;PP2;EDP1;ECP10;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G2;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM4;TP11;TM4;FR7;SM3;T1;PM2;EDM1;ECM11;MOM13;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G2;AR5;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP2;TM4;FR5;SM7;T2;PM2;EDM3;ECM7 ;MOM3;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS2;PT3;CAT2;NM2
I2;G1;AR3;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM3;TP11;TM4;FR4;SM7;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP7 ;MOP8;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM4;TP1;TM4;FR3;SM3;T1;PM2;EDM1;ECM9;MOM15;PP2;EDP1;ECP7 ;MOP10;DF1;QDF0;IS2;PT2;CAT1;NM0
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM5;TP5;TM1;FR1;SM7;T1;PM2;EDM1;ECM7 ;MOM2;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM4;TP11;TM3;FR4;SM3;T1;PM2;EDM1;ECM9;MOM8;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM3;TP11;TM3;FR3;SM7;T1;PM2;EDM1;ECM10;MOM2;PP2;EDP1;ECP9;MOP8;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED1;KM6;TP7;TM4;FR6;SM7;T1;PM2;EDM3;ECM9;MOM2;PP2;EDP3;ECP2 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G2;AR1;S4;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM6;TP11;TM1;FR1;SM3;T1;PM2;EDM1;ECM9;MOM5;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G1;AR5;S1;PCD2;QPCD0;PE2;AU0;MO10;ED9;KM1;TP1;TM2;FR9;SM2;T1;PM2;EDM17;ECM10;MOM1;PP2;EDP14;ECP9;MOP12;DF1;QDF0;IS2;PT4;CAT1;NM0
I2;G1;AR1;S4;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM2;TP11;TM2;FR5;SM7;T1;PM2;EDM1;ECM9;MOM5;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS2;PT4;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM3;TP11;TM1;FR1;SM7;T1;PM2;EDM5 ;ECM7 ;MOM1;PP2;EDP1;ECP9;MOP1;DF1;QDF0;IS1;PT2;CAT2;NM2
I3;G1;AR1;S2;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM4;TP7;TM3;FR4;SM3;T1;PM1;EDM0;ECM0;MOM0;PP2;EDP1;ECP8;MOP12;DF1;QDF0;IS1;PT2;CAT1;NM0
I3;G1;AR1;S3;PCD1;QPCD4;PE1;AU5;MO10;ED1;KM5;TP8;TM4;FR6;SM9;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP3;ECP8;MOP1;DF1;QDF0;IS1;PT2;CAT2;NM1
I3;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO12;ED2;KM3;TP7;TM4;FR4;SM7;T2;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT3;CAT2;NM1
I4;G2;AR1;S1;PCD2;QPCD0;PE1;AU2;MO15;ED2;KM1;TP11;TM4;FR5;SM9;T1;PM2;EDM1;ECM7 ;MOM8;PP2;EDP1;ECP8;MOP1;DF1;QDF0;IS1;PT4;CAT2;NM1
I3;G1;AR1;S1;PCD2;QPCD0;PE1;AU1;MO15;ED2;KM1;TP1;TM3;FR4;SM7;T2;PM2;EDM1;ECM8;MOM5;PP2;EDP1;ECP2 ;MOP12;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G5;AR1;S4;PCD1;QPCD5;PE1;AU6;MO10;ED2;KM2;TP11;TM5;FR8;SM3;T2;PM2;EDM1;ECM6 ;MOM5;PP2;EDP1;ECP7 ;MOP5;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM6;TP7;TM3;FR4;SM3;T1;PM2;EDM6;ECM7 ;MOM2;PP2;EDP5;ECP7 ;MOP12;DF1;QDF0;IS1;PT4;CAT1;NM0
I2;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED7;KM2;TP11;TM4;FR6;SM7;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP6;ECP9;MOP8;DF1;QDF0;IS2;PT2;CAT2;NM1
I1;G1;AR1;S5;PCD2;QPCD0;PE1;AU6;MO10;ED2;KM1;TP1;TM5;FR6;SM3;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP9;MOP7;DF1;QDF0;IS1;PT4;CAT2;NM1
I3;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM2;TP11;TM2;FR5;SM7;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP14;ECP7 ;MOP5;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G2;AR3;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM2;TP2;TM1;FR1;SM3;T1;PM2;EDM1;ECM6 ;MOM2;PP2;EDP1;ECP7 ;MOP4;DF1;QDF0;IS1;PT4;CAT2;NM2
I4;G2;AR5;S1;PCD2;QPCD0;PE2;AU0;MO7;ED2;KM2;TP11;TM2;FR4;SM7;T2;PM2;EDM1;ECM7 ;MOM4;PP2;EDP1;ECP7 ;MOP5;DF2;QDF3;IS2;PT4;CAT1;NM0
I3;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM2;TP2;TM3;FR5;SM9;T2;PM2;EDM1;ECM7 ;MOM4;PP2;EDP1;ECP5 ;MOP2;DF1;QDF0;IS1;PT3;CAT2;NM2
I2;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM2;TP11;TM2;FR5;SM3;T1;PM2;EDM1;ECM9;MOM2;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM4;TP11;TM4;FR3;SM3;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP11;MOP10;DF1;QDF0;IS1;PT4;CAT1;NM0
I2;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM6;TP8;TM1;FR1;SM7;T1;PM2;EDM1;ECM7 ;MOM13;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM3;TP11;TM3;FR6;SM7;T1;PM2;EDM1;ECM9;MOM12;PP2;EDP7;ECP10;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I3;G1;AR2;S1;PCD2;QPCD0;PE1;AU1;MO10;ED2;KM1;TP1;TM4;FR3;SM7;T2;PM2;EDM1;ECM2 ;MOM2;PP2;EDP1;ECP2 ;MOP11;DF1;QDF0;IS1;PT1;CAT2;NM1
I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP1;TM4;FR5;SM3;T1;PM2;EDM1;ECM9;MOM4;PP2;EDP1;ECP10;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I7;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM4;TP7;TM4;FR1;SM3;T1;PM1;EDM0;ECM0;MOM0;PP1;EDP0;ECP0;MOP0;DF2;QDF2;IS1;PT1;CAT2;NM2
I2;G1;AR3;S3;PCD2;QPCD0;PE1;AU2;MO6;ED2;KM6;TP7;TM1;FR9;SM3;T1;PM2;EDM5 ;ECM7 ;MOM13;PP2;EDP6 ;ECP7 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM5;TP8;TM3;FR3;SM3;T1;PM2;EDM1;ECM9;MOM8;PP2;EDP1;ECP11;MOP8;DF1;QDF0;IS1;PT2;CAT2;NM1
I6;G2;AR2;S5;PCD2;QPCD0;PE2;AU0;MO13;ED2;KM6;TP9;TM1;FR2;SM3;T1;PM2;EDM3;ECM7 ;MOM6;PP2;EDP3;ECP3 ;MOP1;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM6;TP9;TM1;FR2;SM3;T1;PM2;EDM1;ECM7 ;MOM6;PP2;EDP1;ECP9;MOP12;DF1;QDF0;IS1;PT2;CAT1;NM0
I2;G2;AR1;S3;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM6;TP9;TM1;FR2;SM7;T1;PM2;EDM1;ECM6 ;MOM2;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I1;G1;AR1;S5;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP6;TM1;FR1;SM3;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT1;CAT2;NM1
I1;G2;AR1;S2;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM6;TP9;TM1;FR2;SM3;T1;PM2;EDM1;ECM6 ;MOM4;PP2;EDP6 ;ECP6 ;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G1;AR3;S3;PCD2;QPCD0;PE2;AU0;MO10;ED1;KM2;TP5;TM4;FR6;SM7;T1;PM2;EDM3;ECM10;MOM15;PP2;EDP3;ECP6 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I1;G5;AR3;S2;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM3;TP7;TM3;FR4;SM3;T1;PM2;EDM1;ECM9;MOM15;PP2;EDP1;ECP9;MOP12;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G6;AR2;S2;PCD2;QPCD0;PE1;AU6;MO10;ED2;KM2;TP11;TM5;FR8;SM3;T1;PM2;EDM5 ;ECM2 ;MOM2;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G5;AR1;S4;PCD1;QPCD7;PE1;AU5;MO15;ED6;KM2;TP11;TM2;FR8;SM3;T2;PM1;EDM0;ECM0;MOM0;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G5;AR1;S4;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM1;TP7;TM4;FR6;SM7;T2;PM1;EDM0;ECM0;MOM0;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR1;S2;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM1;TP11;TM4;FR4;SM3;T2;PM2;EDM6;ECM4 ;MOM1;PP2;EDP5;ECP2 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP9;TM1;FR2;SM3;T2;PM2;EDM5 ;ECM7 ;MOM7;PP2;EDP1;ECP7 ;MOP1;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G5;AR6;S3;PCD2;QPCD0;PE1;AU1;MO9;ED2;KM2;TP7;TM4;FR7;SM7;T2;PM2;EDM1;ECM10;MOM13;PP2;EDP14;ECP7 ;MOP11;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR1;S1;PCD2;QPCD0;PE1;AU1;MO7;ED2;KM2;TP11;TM2;FR5;SM3;T1;PM2;EDM1;ECM7 ;MOM1;PP2;EDP1;ECP9;MOP12;DF1;QDF0;IS1;PT2;CAT1;NM0
I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM2;TP11;TM2;FR6;SM3;T2;PM2;EDM4;ECM4 ;MOM4;PP2;EDP4;ECP6 ;MOP4;DF1;QDF0;IS1;PT1;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE1;AU1;MO10;ED2;KM2;TP1;TM2;FR6;SM3;T2;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP10;MOP2;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G7;AR1;S3;PCD1;QPCD7;PE1;AU6;MO10;ED2;KM2;TP11;TM5;FR6;SM3;T2;PM2;EDM3;ECM7 ;MOM14;PP2;EDP3;ECP9;MOP10;DF1;QDF0;IS1;PT1;CAT2;NM2
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM6;TP7;TM1;FR2;SM3;T2;PM2;EDM1;ECM7 ;MOM5;PP2;EDP1;ECP7 ;MOP5;DF1;QDF0;IS2;PT2;CAT2;NM1
I1;G7;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM3;TP11;TM2;FR5;SM3;T2;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS2;PT1;CAT2;NM1
I3;G7;AR2;S4;PCD2;QPCD0;PE1;AU6;MO4;ED4 ;KM1;TP1;TM5;FR1;SM3;T2;PM2;EDM8 ;ECM3 ;MOM4;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G6;AR1;S3;PCD2;QPCD0;PE2;AU0;MO9;ED2;KM5;TP7;TM4;FR6;SM7;T2;PM2;EDM1;ECM4 ;MOM4;PP2;EDP1;ECP2 ;MOP2;DF1;QDF0;IS1;PT1;CAT2;NM1
I2;G1;AR1;S4;PCD2;QPCD0;PE1;AU1;MO15;ED5;KM2;TP11;TM2;FR7;SM3;T2;PM2;EDM12;ECM3 ;MOM12;PP2;EDP2;ECP4 ;MOP5;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G2;AR2;S4;PCD2;QPCD0;PE2;AU0;MO12;ED2;KM3;TP11;TM2;FR5;SM3;T2;PM2;EDM1;ECM8;MOM15;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS1;PT2;CAT2;NM2
I3;G5;AR1;S2;PCD1;QPCD7;PE2;AU0;MO7;ED2;KM6;TP9;TM1;FR2;SM3;T2;PM2;EDM5 ;ECM7 ;MOM2;PP2;EDP1;ECP7 ;MOP5;DF1;QDF0;IS1;PT2;CAT2;NM2
I7;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP5;TM6;FR1;SM1;T2;PM2;EDM1;ECM2 ;MOM1;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS2;PT4;CAT2;NM2
I2;G2;AR1;S4;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP1;TM3;FR3;SM7;T2;PM2;EDM1;ECM10;MOM2;PP2;EDP1;ECP9;MOP8;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR5;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP1;TM3;FR6;SM5;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G2;AR2;S1;PCD2;QPCD0;PE2;AU0;MO3;ED2;KM2;TP11;TM2;FR5;SM3;T1;PM2;EDM1;ECM7 ;MOM1;PP2;EDP1;ECP4 ;MOP10;DF1;QDF0;IS1;PT4;CAT2;NM2
I2;G2;AR1;S3;PCD2;QPCD0;PE2;AU0;MO10;ED2;KM1;TP2;TM4;FR7;SM9;T2;PM2;EDM1;ECM9;MOM13;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR7;S2;PCD1;QPCD3;PE2;AU0;MO15;ED9;KM3;TP11;TM3;FR4;SM1;T1;PM2;EDM3;ECM11;MOM2;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT1;CAT1;NM0
I3;G5;AR1;S3;PCD1;QPCD8;PE1;AU6;MO15;ED2;KM1;TP11;TM5;FR7;SM7;T1;PM2;EDM1;ECM9;MOM15;PP2;EDP1;ECP9;MOP11;DF1;QDF0;IS1;PT2;CAT2;NM2
I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM1;TP1;TM3;FR5;SM5;T2;PM2;EDM1;ECM7 ;MOM5;PP2;EDP1;ECP4 ;MOP5;DF1;QDF0;IS1;PT2;CAT2;NM1
